ID	PF	Exclusion
NCT02551432	1	"Is currently participating in or has participated in a study of an investigational agent or using an investigational device within 4 weeks of the first dose of treatment. Has a diagnosis of immunodeficiency or is receiving systemic steroid therapy or any other form of immunosuppressive therapy within 7 days prior to the first dose of trial treatment. Has had a prior anti-cancer monoclonal antibody within 4 weeks prior to study Day 1 or who has not recovered (i.e., ¡Â Grade 1 or at baseline) from adverse events due to agents administered more than 4 weeks earlier. Has had prior chemotherapy, targeted small molecule therapy, or radiation therapy within 2 weeks prior to study Day 1 or who has not recovered (i.e., ¡Â Grade 1 or at baseline) from adverse events due to a previously administered agent. Note: Subjects with ¡Â Grade 2 neuropathy are an exception to this criterion and may qualify for the study. Note: If subject received major surgery, they must have recovered adequately from the toxicity and/or complications from the intervention prior to starting therapy. Has a known additional malignancy that is progressing or requires active treatment. Exceptions include basal cell carcinoma of the skin, squamous cell carcinoma of the skin, or in situ cervical cancer that has undergone potentially curative therapy. Has known active central nervous system (CNS) metastases and/or carcinomatous meningitis. Subjects with previously treated brain metastases may participate provided they are stable (without evidence of progression by imaging for at least four weeks prior to the first dose of trial treatment and any neurologic symptoms have returned to baseline), have no evidence of new or enlarging brain metastases, and are not using steroids for at least 7 days prior to trial treatment. Has active autoimmune disease that has required systemic treatment in the past 2 years (i.e. with use of disease modifying agents, corticosteroids or immunosuppressive drugs). Replacement therapy (eg., thyroxine, insulin, or physiologic corticosteroid replacement therapy for adrenal or pituitary insufficiency, etc.) is not considered a form of systemic treatment. Has evidence of interstitial lung disease or active, non-infectious pneumonitis. Has an active infection requiring systemic therapy. Has a history or current evidence of any condition, therapy, or laboratory abnormality that might confound the results of the trial, interfere with the subject's participation for the full duration of the trial, or is not in the best interest of the subject to participate, in the opinion of the treating investigator. Has known psychiatric or substance abuse disorders that would interfere with cooperation with the requirements of the trial. Is pregnant or breastfeeding, or expecting to conceive or father children within the projected duration of the trial, starting with the pre-screening or screening visit through 120 days after the last dose of trial treatment. Has received a live vaccine within 30 days prior to the first dose of trial treatment. Has a known history of active TB (Bacillus Tuberculosis) Has known hypersensitivity to MK-3475 or any of its excipients"
NCT02982720	0	"A history of anaphylaxis to peginterferon alfa-2b or interferon alfa-2b Is currently participating and receiving study therapy or has participated in a study of an investigational agent and received study therapy or used an investigational device within 4 weeks of the first dose of treatment. Has a diagnosis of immunodeficiency or is receiving systemic steroid therapy or any other form of immunosuppressive therapy within 7 days prior to the first dose of trial treatment. Has a known history of active Bacillus Tuberculosis (TB) Hypersensitivity to pembrolizumab or any of its excipients. Has had a prior anti-cancer monoclonal antibody (mAb) within 4 weeks prior to study Day 1 or who has not recovered (i.e., ¡Â Grade 1 or at baseline) from adverse events due to agents administered more than 4 weeks earlier. Has had prior chemotherapy, targeted small molecule therapy, or radiation therapy within 2 weeks prior to study Day 1 or who has not recovered (i.e., ¡Â Grade 1 or at baseline) from adverse events due to a previously administered agent. Note: Subjects with ¡Â Grade 2 neuropathy are an exception to this criterion and may qualify for the study. Note: If subject received major surgery, they must have recovered adequately from the toxicity and/or complications from the intervention prior to starting therapy. Has a known additional malignancy that is progressing or requires active treatment. Exceptions include basal cell carcinoma of the skin or squamous cell carcinoma of the skin that has undergone potentially curative therapy or in situ cervical cancer. Has known active central nervous system (CNS) metastases and/or carcinomatous meningitis. Subjects with previously treated brain metastases may participate provided they are stable (without evidence of progression by imaging for at least four weeks prior to the first dose of trial treatment and any neurologic symptoms have returned to baseline), have no evidence of new or enlarging brain metastases, and are not using steroids for at least 7 days prior to trial treatment. This exception does not include carcinomatous meningitis, which is excluded regardless of clinical stability. Has active autoimmune disease that has required systemic treatment in the past 2 years (i.e. with use of disease modifying agents, corticosteroids, or immunosuppressive drugs). Replacement therapy (e.g., thyroxine, insulin, or physiologic corticosteroid replacement therapy for adrenal or pituitary insufficiency, etc.) is not considered a form of systemic treatment. Has an active infection requiring systemic therapy. Is pregnant or breastfeeding, or expecting to conceive or father children within the projected duration of the trial, starting with the pre-screening or screening visit through 120 days after the last dose of trial treatment."
NCT02452424	0	"Disease that is suitable for local therapy administered with curative intent. Diagnosis of immunodeficiency or is receiving systemic steroid therapy or any other form of immunosuppressive therapy within 7 days prior to the first dose of study treatment. Is currently participating and receiving  Refractory nausea and vomiting, malabsorption, external biliary shunt, or significant small bowel resection that would preclude adequate absorption.study therapy or has participated in a study of an investigational agent and received study therapy or used an investigational device within 28 days prior to the first dose of study treatment. Has had monoclonal antibody within 28 days of first dose of study treatment or has not recovered from AEs due to agents administered more than 28 days earlier. Has had chemotherapy, targeted small molecule therapy, or radiation therapy within 14 days prior to first dose of study treatment or who has not recovered from AEs due to a previously administered agent. Note: Subjects with ¡Â Grade 2 neuropathy or ¡Â Grade 2 alopecia are an exception to this criterion and may qualify for the study. Note: If a subject received major surgery, he or she must have recovered adequately from the toxicity and/or complications from the intervention prior to starting study treatment. Has received transfusion of blood products (including platelets or red blood cells [RBC]) or administration of colony stimulating factors (including granulocyte colony-stimulating factor, granulocyte macrophage colony-stimulating factor, or recombinant erythropoietin) within 28 days prior to Day 1. Evidence of interstitial lung disease or active, noninfectious pneumonitis. Has a known additional malignancy that is progressing or requires active treatment. Exceptions include basal cell carcinoma of the skin, squamous cell carcinoma of the skin that has undergone potentially curative therapy, in situ cervical cancer and isolated elevation of prostate-specific antigen. Subjects with a completely treated prior malignancy with no evidence of disease for ¡Ã 2 years are eligible. For Dose escalation cohort: patients with liver metastases, inclusion of patients with liver metastases in subsequent cohorts will be based upon clinical data. For Expansion cohort subjects who have previously received an anti-PD-1, anti-PD-L1, or anti#PD-L2 agent or has previously participated in pembrolizumab clinical trials are excluded, except the following tumor types Melanoma, NSCLC and SCCHN (who must show primary progression to anti-PD1/anti-PDL1 therapy). Radiation therapy within 14 days of first dose of study treatment.- remove since it's repetitive. Has active autoimmune disease that has required systemic treatment in past 2 years (i.e., with use of disease modifying agents, corticosteroids, or immunosuppressive drugs). Replacement therapy is not considered a form of systemic treatment. Has an active infection requiring systemic therapy. Has known central nervous system metastases and/or carcinomatous meningitis. o Note: Subjects with previously treated brain metastases may participate if they meet the following criteria: 1) are stable for at least 28 days prior to the first dose of study treatment and if all neurologic symptoms returned to baseline); 2) have no evidence of new or enlarging brain metastases; and 3) have not been using steroids for at least 7 days prior to first dose of study treatment. This exception does not include carcinomatous meningitis, which is excluded regardless of clinical stability. Uncontrolled intercurrent illness. QT interval corrected using Fridericia's formula (QTc) ¡Ã 450 msec (males) or ¡Ã 470 msec (females) at Screening. Congenital long QT syndrome or patients taking concomitant medications known to prolong the QT interval. Major surgery within 28 days prior to first dose of study treatment. Has received a live vaccine administered within 30 days prior to first dose of study treatment. Has a history or current evidence of any condition, therapy, or laboratory abnormality that might confound the results of the trial, interfere with the subject's participation for the full duration of the trial, or is not in the best interest of the subject to participate, in the opinion of the treating investigator. ctive and clinically significant bacterial, fungal or viral infection, including hepatitis B virus (HBV), hepatitis C virus (HCV), known human immunodeficiency virus (HIV) or acquired immunodeficiency syndrome related illness (HIV testing is not required), including subjects who have an active infection requiring systemic therapy. ny of the following within 48 weeks (~1 year) prior to first dose of study treatment: myocardial infarction, uncontrolled angina, coronary/peripheral artery bypass graft, symptomatic congestive heart failure, cerebrovascular accident or transient ischemic attack. s pregnant or breastfeeding, or expecting to conceive or father children within the projected duration of the trial, starting with the screening visit through 120 days after the last dose of study treatment.Has known psychiatric or substance abuse disorders that would interfere with cooperation with the requirements of the trial. Has had prior exposure to PLX3397. Has had hypersensitivity (¡ÃGrade 3) reaction to pembrolizumab and/or any of its excipients."
NCT03361865	1	"Disease that is suitable for local therapy administered with curative intent. Known additional malignancy that is progressing or has required active treatment within the past 3 years. Known active central nervous system (CNS) metastases and/or carcinomatous meningitis. Participants with previously treated brain metastases may participate provided they are radiologically stable, ie, without evidence of progression for at least 4 weeks by repeat imaging, clinically stable and without requirement of steroid treatment for at least 14 days prior to first dose of study treatment. Active autoimmune disease that has required systemic treatment in past 2 years. Known history of human immunodeficiency virus (HIV) infection. HIV testing is not required unless mandated by local health authority. Known history of or is positive for active hepatitis B (hepatitis B surface antigen [HBsAg] reactive) or has active hepatitis C (HCV RNA). Note: Testing must be performed to determine eligibility. istory of a gastrointestinal condition that in the opinion of the Investigator may affect oral drug absorption. istory or presence of an abnormal electrocardiogram (ECG) that, in the investigator's opinion, is clinically meaningful. Use of protocol-defined prior/concomitant therapy."
NCT03374488	1	"Urothelial carcinoma that is suitable for local therapy with curative intent. History or presence of an abnormal electrocardiogram (ECG) that, in the investigator's opinion, is clinically meaningful. Known additional malignancy that is progressing or has required active treatment within the past 3 years. Known active central nervous system (CNS) metastases and/or carcinomatous meningitis. Participants with previously treated brain metastases may participate provided they are radiologically stable, ie, without evidence of progression for at least 4 weeks by repeat imaging. Active autoimmune disease that has required systemic treatment in past 2 years. Known history of human immunodeficiency virus (HIV) infection. HIV testing is not required unless mandated by local health authority. Known history of or is positive for active hepatitis B (HBsAg reactive) or has active hepatitis C (HCV RNA). Note: Testing must be performed to determine eligibility. Use of protocol-defined prior/concomitant therapy."
NCT02306850	1	"Is currently participating in or has participated in a study of an investigational agent or using an investigational device within 4 weeks of the first dose of treatment. Has a diagnosis of immunodeficiency or is receiving systemic steroid therapy or any other form of immunosuppressive therapy within 7 days prior to the first dose of treatment. Has had a prior monoclonal antibody within 4 weeks prior to study Day 1 or who has not recovered (i.e., ¡Â Grade 1 or at baseline) from adverse events due to agents administered > 4 weeks earlier. Has had prior chemotherapy, targeted small molecule therapy, or radiation therapy within 2 weeks prior to study Day 1 or who has not recovered (i.e., ¡Â Grade 1 or at baseline) from adverse events due to a previously administered agent. Has a known additional malignancy that is progressing or requires active treatment. Exceptions include basal cell and squamous cell skin cancers, or in situ cervical cancer. Has known active central nervous system (CNS) metastases and/or carcinomatous meningitis. Subjects with previously treated brain metastases may participate provided they are stable (without evidence of progression by imaging 4 weeks prior to the first dose and any neurologic symptoms have returned to baseline), have no evidence of new or enlarging brain metastases, and are not using steroids for 7 days prior to trial treatment. Has an active autoimmune disease requiring systemic treatment within the past 3 months or a history of severe autoimmune disease or syndrome that requires steroids or immunosuppressive agents. Has interstitial lung disease or active, non-infectious pneumonitis. Has an active infection requiring systemic therapy. Has a history or current evidence of any condition, therapy, or lab abnormality that might confound the results, interfere with the subject's participation, or is not in the best interest of the subject to participate, in the opinion of the investigator. Has known psychiatric or substance abuse disorders that would interfere with the requirements of the trial. Is pregnant or breastfeeding, or expecting to conceive or father children within the projected duration of the trial. Has received prior therapy with an anti-PD-1, anti-PD-L1, anti-PD-L2 treatment. Has a history of HIV. Has active Hepatitis B or Hepatitis C Has received a live vaccine within 30 days prior to first dose. Is currently being treated with ipilimumab (defined as ipilimumab < 6 weeks before first dose of treatment)."
NCT03123055	0	"Participants with a history of idiopathic pulmonary fibrosis, organizing pneumonia, drug-induced pneumonitis, idiopathic pneumonitis, or evidence of active pneumonitis on the Screening chest CT scan. Prior therapy with an anti-programmed cell death 1 (PD-1) or anti-PD-Ligand 1 agent, or with an agent directed to another co-inhibitory T-cell receptor or FGFR inhibitor. Patients with autoimmune disease or medical conditions that required systemic corticosteroids (> 10 mg/day prednisone or its equivalent) or other immunosuppressive medications or any other form of systemic immunosuppressive therapy within 7 days prior to the first dose of study treatment. Note: Replacement therapy (e.g. physiologic corticosteroid replacement therapy for adrenal or pituitary insufficiency, etc.) is not considered a form of systemic treatment. Primary central nervous system (CNS) malignancy or CNS metastases. History of clinically significant coagulation or platelet disorder in the past 12 months."
NCT02658019	1	"Active autoimmune disease that has required systemic treatment in the past 2 years (i.e. with use of disease modifying agents, corticosteroids or immunosuppressive drugs). Replacement therapy (e.g., thyroxine, insulin, or physiologic corticosteroid replacement therapy for adrenal or pituitary insufficiency, etc.) is not considered a form of systemic treatment. Diagnosis of immunodeficiency or is receiving systemic steroid therapy or any other form of immunosuppressive therapy within 2 years prior to the first dose of trial treatment. Major surgical procedure within 28 days prior to enrollment. Note: If subject received major surgery, they must have recovered adequately from the toxicity and/or complications from the intervention prior to starting therapy. Any unresolved toxicity > CTCAE grade 2 despite optimal care/support, from previous anti-cancer therapy, within 28 days prior to first dose of study drug. [Exceptions: Alopecia and ¡Âgrade 2 neuropathy.] Prior therapy with an anti-Programmed Death (PD)-1, anti-PD-Ligand-(L)-1, or anti-PD-L2 agent. Receipt of anti-cancer monoclonal antibody within 4 weeks prior to first dose of study drug. Prior treatment with any other chemotherapy, radiotherapy, immunotherapy, or anticancer drug, agent or biologic within 4 weeks prior to first dose of study drug. Has received a live vaccine within 30 days of planned start of study therapy. Note: Seasonal influenza vaccines for injection are generally inactivated flu vaccines and are allowed; however intranasal influenza vaccines (e.g., Flu-Mist¢ç) are live attenuated vaccines, and are not allowed. Receipt of any other investigational agents for their cancer ¡Â4 weeks of the first dose of study treatment. Known history of active Bacillus Tuberculosis (TB). Known history of, or any evidence of active, non-infectious pneumonitis or has a history of (non-infectious) pneumonitis that required steroids or current pneumonitis. Known history of Human Immunodeficiency Virus (HIV), HIV-1/2 antibodies. Known hypersensitivity to pembrolizumab or any of its excipients. Known active central nervous system (CNS) metastases and/or carcinomatous meningitis. [Exception: Subjects with previously treated brain metastases may participate provided they are stable (without evidence of progression by imaging, for at least 4 weeks prior to the first dose of study drug and any neurologic symptoms have returned to baseline), have no evidence of new or enlarging brain metastases, and are not using steroids for at least 7 days prior to trial treatment. This exception does not apply to carcinomatous meningitis which is excluded regardless of clinical stability.] Is pregnant or breastfeeding, or expecting to conceive or father children within the projected duration of the trial through 120 days after the last dose of trial treatment. Any uncontrolled, intercurrent illness including but not limited to ongoing or active infection, symptomatic congestive heart failure, unstable angina pectoris, cardiac arrhythmia. Has a known additional malignancy that is progressing or requires active treatment. [Exception: Basal cell carcinoma of the skin or squamous cell carcinoma of the skin that has undergone potentially curative therapy, or in situ cervical cancer.] Any other serious medical or psychiatric illness/condition likely in the judgment of the Investigator(s) to interfere or limit compliance with study requirements/treatment. Treatment for active hepatitis C virus (HCV) within 60 days of study entry. [Note: Untreated HCV positive subjects are eligible, and if stable on pembrolizumab for 6 months after study entry, consideration may be given to starting anti-HCV therapy, at the discretion of the treating Investigator.] HCC patients with evidence of prior hepatitis B virus (HBV) must fulfill the following criteria in order to be eligible for the study: HBV viral load (VL) <100 IU/mL before study enrollment, and subjects with active HBV need to be on anti-HBV suppression ¡Ã3 months, throughout treatment and for 6 months after."
NCT03167151	0	"Has received prior radiotherapy to the pelvis. Has significant urinary incontinence or known bladder instability. Main study only: Has more than 2 out of 3 of the following present at the current time: i. ¡Ã8 tumours ii. Tumour ¡Ã3cm in size iii. Frequent recurrence (>1/year) Has a previous history of any of the following: T1 tumour, high grade/G3 tumour, carcinoma in situ, multiple recurrent large (>3cm) Ta, G1 or G2 tumours. Had a primary tumour of unknown pathological stage or grade. Has disease for which resection of all visible tumours is not possible. Is currently participating and receiving study therapy or has participated in a study of an investigational agent and received study therapy or used an investigational device within 28 days of the first dose of trial treatment. Has a diagnosis of immunodeficiency or is receiving systemic steroid therapy or any other form of immunosuppressive therapy within 7 days prior to the first dose of trial treatment. Subjects requiring use of inhaled or intranasal corticosteroids or local steroid injections would not be excluded. Has a known history of active tuberculosis (TB). Has received intravesical Bacillus Calmette-Guerin (BCG) treatment within 30 days prior to the first dose of trial treatment. Has hypersensitivity to pembrolizumab or any of its excipients. Has had treatment with any other anti-cancer monoclonal antibody within 28 days prior to enrolment or who has not recovered (i.e. ¡Â Grade 1 or at baseline) from adverse events due to agents administered more than 4 weeks earlier. Has had treatment with prior chemotherapy, targeted small molecule therapy, or radiation therapy within 2 weeks of administration of study drug or who has not recovered (i.e. ¡Â Grade 1 or at baseline) from adverse events due to a previously administered agent. Has a known additional malignancy that is progressing or requires active treatment. Exceptions include basal cell carcinoma of the skin or squamous cell carcinoma of the skin that has undergone potentially curative therapy or in situ cervical cancer. Has known active central nervous system (CNS) metastases and/or carcinomatous meningitis. Subjects with previously treated brain metastases may participate provided they are stable (without evidence of progression by imaging for at least four weeks prior to the first dose of trial treatment and any neurological symptoms have returned to baseline), have no evidence of new or enlarging brain metastases, and are not using steroids for a t least 7 days prior to trial treatment. This exception does not include carcinomatous meningitis which is excluded regardless of clinical stability. Has active autoimmune disease that has required systemic treatment in the past 2 years (i.e. with use of disease modifying agents or immunosuppressive drugs). Replacement therapy (e.g. thyroxine, insulin or physiologic corticosteroids replacement therapy for adrenal or pituitary insufficiency, etc.) is not considered a form of systemic treatment. Has a known history of, or any evidence of active, non-infectious pneumonitis. Has an active or intractable infection requiring systemic therapy. Has a history or current evidence of any condition, therapy, or laboratory abnormality that might confound the results of the trial, interfere with the subject's participation for the full duration of the trial, or is not in the best interest of the subject to participate, in the opinion of the treating Investigator. Has a known psychiatric or substance abuse disorder that would interfere with cooperation with the requirements of the trial. Is pregnant or breastfeeding, or expecting to conceive or father children within the projected duration of the trial, starting with the pre-screening or screening visit through to 120 days after the last dose of trial treatment. Has received prior therapy with an anti-programmed cell death protein 1 (anti-PD-1), anti-programmed death ligand 1 (anti PD-L1), or anti-programmed death ligand 2 (anti-PD-L2) agent. Has a known history of Human Immunodeficiency Virus (HIV) (HIV 1/2 antibodies). Has known active Hepatitis B (e.g. HBsAg reactive) or Hepatitis C (e.g. hepatitis C virus [HCV] RNA [qualitative] is detected). Has received a live vaccine within 30 days prior to the first dose of trial treatment."
NCT03407170	0	"Has disease that is suitable for local therapy administered with curative intent Has a history of interstitial lung disease Has a positive pregnancy test within 72 hours before the first dose of study therapy Has received prior therapy with an anti-Programmed Cell Death Protein 1 (PD-1), anti-Programmed Cell Death-Ligand 1 (PD-L1), anti-Programmed Cell Death-Ligand 2 (PD-L2) agent or with an agent directed to another stimulatory or co-inhibitory T-cell receptor (eg, cytotoxic T-lymphocyte-associated protein 4 [CTLA-4], OX-40, CD137) Has received prior systemic anti-cancer therapy including investigational agents within 4 weeks prior to study start Has received prior radiotherapy within 2 weeks of start of study therapy Has received a live vaccine within 30 days prior to the first dose of study therapy Has received transfusion of blood products (including platelets or red blood cells) or administration of colony stimulating factors (including granulocyte colony stimulating factor [G-CSF], granulocyte macrophage colony stimulating factor [GMCSF] or recombinant erythropoietin) within 4 weeks prior to study start Is currently participating in or has participated in a study of an investigational agent or has used an investigational device within 4 weeks prior to the first dose of study therapy Has a diagnosis of immunodeficiency or is receiving chronic systemic steroid therapy or any other form of immunosuppressive therapy within 7 days prior the first dose of study therapy Has a known additional malignancy that is progressing or has required active treatment within the past 3 years with the exception of basal cell and squamous cell carcinoma of the skin, transitional cell carcinoma of urothelial cancer, or carcinoma in situ (eg, breast carcinoma, cervical cancer in situ) that have undergone potentially curative therapy Has known active central nervous system (CNS) metastases and/or carcinomatous meningitis Has severe hypersensitivity (¡ÃGrade 3) to pembrolizumab and/or any of its excipients Has an active autoimmune disease that has required systemic treatment in past 2 years Has a history of (non-infectious) pneumonitis that required steroids or has current pneumonitis Has an active infection requiring systemic therapy Has a known history of human immunodeficiency virus (HIV) infection Has a known history of Hepatitis B (defined as Hepatitis B surface antigen [HBsAg] reactive) or known active Hepatitis C virus (defined as HCV RNA [qualitative] is detected) infection Has a history or current evidence of any condition, therapy, or laboratory abnormality that might confound the results of the study, interfere with the participant's participation for the full duration of the study, or is not in the best interest of the participant to participate, in the opinion of the treating investigator Has known psychiatric or substance abuse disorders that would interfere with cooperating with the requirements of the study. Is pregnant or breastfeeding or expecting to conceive or father children starting with the screening visit through 120 days after the last dose of study therapy"
